reviewID,documentScore,documentMag,sentimentscore,sentimentmagnitude,textcontent,userName,userScore,thumbsUpCount,reviewCreatedVersion,at,responselanguage
gp:AOqpTOEXAr0oBT2bwKwhW5ChEDT9GqUpzvErd4g1aNnHdPGTqaeskja9Zn-sEYjK6gG-U_lNVU1ZsqTMOBD09us,0.4000000059604645,3.4000000953674316,0.8999999761581421,0.8999999761581421,Multiple choice is quick and addictive.,ydobon enoon,4,67,3.3.0,3.3.0,en
gp:AOqpTOEXAr0oBT2bwKwhW5ChEDT9GqUpzvErd4g1aNnHdPGTqaeskja9Zn-sEYjK6gG-U_lNVU1ZsqTMOBD09us,0.4000000059604645,3.4000000953674316,0.8999999761581421,0.8999999761581421,It makes the learning easy.,ydobon enoon,4,67,3.3.0,3.3.0,en
gp:AOqpTOEXAr0oBT2bwKwhW5ChEDT9GqUpzvErd4g1aNnHdPGTqaeskja9Zn-sEYjK6gG-U_lNVU1ZsqTMOBD09us,0.4000000059604645,3.4000000953674316,0.8999999761581421,0.8999999761581421,It gives the learner a sense of success.,ydobon enoon,4,67,3.3.0,3.3.0,en
gp:AOqpTOEXAr0oBT2bwKwhW5ChEDT9GqUpzvErd4g1aNnHdPGTqaeskja9Zn-sEYjK6gG-U_lNVU1ZsqTMOBD09us,0.4000000059604645,3.4000000953674316,0.0,0.0,"However, it will be nice to have another set of tests where the vocabulary is shown in a sentence and the learner needs to write the meaning.",ydobon enoon,4,67,3.3.0,3.3.0,en
gp:AOqpTOEXAr0oBT2bwKwhW5ChEDT9GqUpzvErd4g1aNnHdPGTqaeskja9Zn-sEYjK6gG-U_lNVU1ZsqTMOBD09us,0.4000000059604645,3.4000000953674316,-0.10000000149011612,0.10000000149011612,I don't know whether the technology can handle the various options that come in and evaluate the acceptable ones to give a positive reward.,ydobon enoon,4,67,3.3.0,3.3.0,en
gp:AOqpTOEXAr0oBT2bwKwhW5ChEDT9GqUpzvErd4g1aNnHdPGTqaeskja9Zn-sEYjK6gG-U_lNVU1ZsqTMOBD09us,0.4000000059604645,3.4000000953674316,0.30000001192092896,0.30000001192092896,"Nevertheless, the learner will eventually learn the acceptable answers and type in the proper words.",ydobon enoon,4,67,3.3.0,3.3.0,en
gp:AOqpTOFiflyzHZxwjY7V6eyhQY5I3ilNFO3mLYcvkA3Vj8MwHgyeJrjmsGLKyRbZ9qInq9Z4mnYS5Xa2M2_bjY0,0.8999999761581421,2.799999952316284,0.8999999761581421,0.8999999761581421,it's a great app for building vocabulary.,Hossein Rafie,5,12,3.3.0,3.3.0,en
gp:AOqpTOFiflyzHZxwjY7V6eyhQY5I3ilNFO3mLYcvkA3Vj8MwHgyeJrjmsGLKyRbZ9qInq9Z4mnYS5Xa2M2_bjY0,0.8999999761581421,2.799999952316284,0.8999999761581421,0.8999999761581421,"although it needs to have something like translation to other languages, but it works really good, helping you to learn the words with examples and repeating them!",Hossein Rafie,5,12,3.3.0,3.3.0,en
gp:AOqpTOFiflyzHZxwjY7V6eyhQY5I3ilNFO3mLYcvkA3Vj8MwHgyeJrjmsGLKyRbZ9qInq9Z4mnYS5Xa2M2_bjY0,0.8999999761581421,2.799999952316284,0.8999999761581421,0.8999999761581421,this app is also very easy to use!,Hossein Rafie,5,12,3.3.0,3.3.0,en
gp:AOqpTOElviD6KwGtiZHGKQcwlMI7Qh073CFUT2xFaH7r-Mx7E55yDqR4kGIFIHlpPwxofAbF4jRKg1anwW8KqW8,0.699999988079071,4.599999904632568,0.8999999761581421,0.8999999761581421,Great vocabulary builder.,John K. Sunny,5,59,3.3.0,3.3.0,en
gp:AOqpTOElviD6KwGtiZHGKQcwlMI7Qh073CFUT2xFaH7r-Mx7E55yDqR4kGIFIHlpPwxofAbF4jRKg1anwW8KqW8,0.699999988079071,4.599999904632568,0.800000011920929,0.800000011920929,The GUI is simple and attractive.,John K. Sunny,5,59,3.3.0,3.3.0,en
gp:AOqpTOElviD6KwGtiZHGKQcwlMI7Qh073CFUT2xFaH7r-Mx7E55yDqR4kGIFIHlpPwxofAbF4jRKg1anwW8KqW8,0.699999988079071,4.599999904632568,0.4000000059604645,0.4000000059604645,I've been using it for the GRE in addition to my anki deck.,John K. Sunny,5,59,3.3.0,3.3.0,en
gp:AOqpTOElviD6KwGtiZHGKQcwlMI7Qh073CFUT2xFaH7r-Mx7E55yDqR4kGIFIHlpPwxofAbF4jRKg1anwW8KqW8,0.699999988079071,4.599999904632568,0.699999988079071,0.699999988079071,I recommend using this app and creating an anki deck for the words you don't know.,John K. Sunny,5,59,3.3.0,3.3.0,en
